repository_name,file_path,all_committers
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatToolOutputPart.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatOutputItemRenderer.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/testing/common/testingChatAgentTool.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/testing/common/testingProgressMessages.ts,"狒狒神, GitHub"
microsoft/vscode,src/vscode-dts/vscode.proposed.chatOutputRenderer.d.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/api/browser/mainThreadChatOutputRenderer.ts,Daniel Imms
microsoft/vscode,src/vs/workbench/api/common/extHostChatOutputRenderer.ts,Daniel Imms
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatToolOutputPart.ts,Daniel Imms
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatOutputItemRenderer.ts,Daniel Imms
microsoft/vscode,src/vs/workbench/contrib/testing/common/testingChatAgentTool.ts,Daniel Imms
microsoft/vscode,src/vs/workbench/contrib/testing/common/testingProgressMessages.ts,Daniel Imms
microsoft/vscode,src/vscode-dts/vscode.proposed.chatOutputRenderer.d.ts,Daniel Imms
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatSessions.ts,Osvaldo Ortega
microsoft/vscode,src/vs/workbench/contrib/testing/common/testingChatAgentTool.ts,"Connor Peet, GitHub"
microsoft/vscode,src/vs/workbench/contrib/testing/common/testingProgressMessages.ts,"Connor Peet, GitHub"
microsoft/vscode,src/vs/workbench/contrib/remoteCodingAgents/browser/remoteCodingAgents.contribution.ts,Josh Spicer
microsoft/vscode,src/vs/workbench/contrib/remoteCodingAgents/common/remoteCodingAgentsService.ts,Josh Spicer
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatSessions.contribution.ts,Josh Spicer
microsoft/vscode,src/vs/workbench/api/browser/mainThreadChatOutputRenderer.ts,"Matt Bierner, GitHub"
microsoft/vscode,src/vs/workbench/api/common/extHostChatOutputRenderer.ts,"Matt Bierner, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatToolOutputPart.ts,"Matt Bierner, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatOutputItemRenderer.ts,"Matt Bierner, GitHub"
microsoft/vscode,src/vscode-dts/vscode.proposed.chatOutputRenderer.d.ts,"Matt Bierner, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatTaskListSubPart.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatElicitationRequestPart.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/chat/common/chatTasksService.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/chat/common/tools/manageTasksTool.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/editTelemetry/browser/editStats/aiStatsFeature.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/editTelemetry/browser/editStats/aiStatsStatusBar.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/editTelemetry/browser/helpers/annotatedDocuments.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/mcp/browser/mcpServerIcons.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/bufferOutputPolling.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/outputHelpers.ts,Matt Bierner
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/task.chatAgentTools.contribution.ts,Matt Bierner
